,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
22,0.489029598236,0.118350982666,0.587677725118,0.581279620853,0.001,6,4,"{'NN__hidden_layer_sizes': 6, 'filter__n': 4, 'NN__alpha': 0.001}",13,0.57345971564,0.559241706161,0.635071090047,0.599526066351,0.682464454976,0.661137440758,0.488151658768,0.531990521327,0.559241706161,0.554502369668,0.0448624056511,0.00742636954766,0.0665535153803,0.0454803482185
23,0.495580816269,0.118961858749,0.521327014218,0.521327014218,0.001,6,5,"{'NN__hidden_layer_sizes': 6, 'filter__n': 5, 'NN__alpha': 0.001}",29,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.0680546944967,0.00758361621582,0.0,0.0
24,0.497617006302,0.118709564209,0.496682464455,0.501421800948,0.001,6,6,"{'NN__hidden_layer_sizes': 6, 'filter__n': 6, 'NN__alpha': 0.001}",33,0.45971563981,0.476303317536,0.450236966825,0.477488151659,0.601895734597,0.613744075829,0.507109004739,0.462085308057,0.464454976303,0.477488151659,0.0618503098658,0.00538577365694,0.0561086202349,0.0564627850058
25,0.490907382965,0.119907999039,0.43317535545,0.425592417062,0.001,6,7,"{'NN__hidden_layer_sizes': 6, 'filter__n': 7, 'NN__alpha': 0.001}",37,0.398104265403,0.432464454976,0.345971563981,0.380331753555,0.568720379147,0.524881516588,0.412322274882,0.370853080569,0.440758293839,0.419431279621,0.0726586956506,0.00393434207297,0.0744302196375,0.0547511322717
26,0.477067375183,0.121049785614,0.531753554502,0.515165876777,0.001,6,8,"{'NN__hidden_layer_sizes': 6, 'filter__n': 8, 'NN__alpha': 0.001}",25,0.54028436019,0.539099526066,0.545023696682,0.53317535545,0.488151658768,0.49644549763,0.54028436019,0.471563981043,0.545023696682,0.535545023697,0.0543898534093,0.0066021076971,0.0219037346129,0.0266984959374
27,0.510628604889,0.118678760529,0.614218009479,0.617298578199,0.001,6,9,"{'NN__hidden_layer_sizes': 6, 'filter__n': 9, 'NN__alpha': 0.001}",5,0.672985781991,0.70971563981,0.625592417062,0.640995260664,0.436018957346,0.428909952607,0.620853080569,0.630331753555,0.715639810427,0.67654028436,0.0831712327135,0.00675263413012,0.0955702216077,0.0982569729821
28,0.43450293541,0.117578172684,0.554502369668,0.55971563981,0.001,6,10,"{'NN__hidden_layer_sizes': 6, 'filter__n': 10, 'NN__alpha': 0.001}",17,0.568720379147,0.577014218009,0.530805687204,0.562796208531,0.597156398104,0.550947867299,0.521327014218,0.561611374408,0.554502369668,0.546208530806,0.0212967617042,0.0110872975893,0.0271427887455,0.0106924304954
29,0.437597179413,0.121314239502,0.601895734597,0.580568720379,0.001,6,11,"{'NN__hidden_layer_sizes': 6, 'filter__n': 11, 'NN__alpha': 0.001}",10,0.649289099526,0.625592417062,0.625592417062,0.553317535545,0.488151658768,0.54028436019,0.60663507109,0.524881516588,0.63981042654,0.658767772512,0.0286462133197,0.00262905491652,0.0586606576181,0.0521703870683
30,0.463692712784,0.121664047241,0.547867298578,0.563033175355,0.0001,6,2,"{'NN__hidden_layer_sizes': 6, 'filter__n': 2, 'NN__alpha': 0.0001}",21,0.582938388626,0.588862559242,0.535545023697,0.600710900474,0.383886255924,0.343601895735,0.597156398104,0.638625592417,0.63981042654,0.64336492891,0.0620953067442,0.00792305940841,0.0884924361477,0.111717732401
31,0.494112348557,0.119175434113,0.660663507109,0.691706161137,0.0001,6,3,"{'NN__hidden_layer_sizes': 6, 'filter__n': 3, 'NN__alpha': 0.0001}",1,0.696682464455,0.714454976303,0.672985781991,0.721563981043,0.530805687204,0.54028436019,0.701421800948,0.735781990521,0.701421800948,0.74644549763,0.0682962635868,0.00691140320527,0.0657795320299,0.0765201065065
32,0.531382846832,0.11418261528,0.587677725118,0.581279620853,0.0001,6,4,"{'NN__hidden_layer_sizes': 6, 'filter__n': 4, 'NN__alpha': 0.0001}",13,0.57345971564,0.559241706161,0.635071090047,0.599526066351,0.682464454976,0.661137440758,0.488151658768,0.531990521327,0.559241706161,0.554502369668,0.0563715590659,0.00764742440818,0.0665535153803,0.0454803482185
33,0.493178796768,0.137629842758,0.521327014218,0.521327014218,0.0001,6,5,"{'NN__hidden_layer_sizes': 6, 'filter__n': 5, 'NN__alpha': 0.0001}",29,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.0425670050204,0.0446298198314,0.0,0.0
34,0.458281755447,0.11720161438,0.496682464455,0.501421800948,0.0001,6,6,"{'NN__hidden_layer_sizes': 6, 'filter__n': 6, 'NN__alpha': 0.0001}",33,0.45971563981,0.476303317536,0.450236966825,0.477488151659,0.601895734597,0.613744075829,0.507109004739,0.462085308057,0.464454976303,0.477488151659,0.0408887148061,0.00504354552246,0.0561086202349,0.0564627850058
35,0.503413820267,0.12014040947,0.43317535545,0.425592417062,0.0001,6,7,"{'NN__hidden_layer_sizes': 6, 'filter__n': 7, 'NN__alpha': 0.0001}",37,0.398104265403,0.432464454976,0.345971563981,0.380331753555,0.568720379147,0.524881516588,0.412322274882,0.370853080569,0.440758293839,0.419431279621,0.0672518040512,0.00290105767889,0.0744302196375,0.0547511322717
36,0.488038158417,0.123426818848,0.531753554502,0.515165876777,0.0001,6,8,"{'NN__hidden_layer_sizes': 6, 'filter__n': 8, 'NN__alpha': 0.0001}",25,0.54028436019,0.539099526066,0.545023696682,0.53317535545,0.488151658768,0.49644549763,0.54028436019,0.471563981043,0.545023696682,0.535545023697,0.0694424834788,0.00444447430713,0.0219037346129,0.0266984959374
37,0.427578639984,0.117066574097,0.614218009479,0.617298578199,0.0001,6,9,"{'NN__hidden_layer_sizes': 6, 'filter__n': 9, 'NN__alpha': 0.0001}",5,0.672985781991,0.70971563981,0.625592417062,0.640995260664,0.436018957346,0.428909952607,0.620853080569,0.630331753555,0.715639810427,0.67654028436,0.0177592231909,0.0111344821044,0.0955702216077,0.0982569729821
38,0.435958194733,0.125765419006,0.554502369668,0.55971563981,0.0001,6,10,"{'NN__hidden_layer_sizes': 6, 'filter__n': 10, 'NN__alpha': 0.0001}",17,0.568720379147,0.577014218009,0.530805687204,0.562796208531,0.597156398104,0.550947867299,0.521327014218,0.561611374408,0.554502369668,0.546208530806,0.0201847843339,0.00107142318935,0.0271427887455,0.0106924304954
39,0.452269983292,0.125012683868,0.601895734597,0.580568720379,0.0001,6,11,"{'NN__hidden_layer_sizes': 6, 'filter__n': 11, 'NN__alpha': 0.0001}",10,0.649289099526,0.625592417062,0.625592417062,0.553317535545,0.488151658768,0.54028436019,0.60663507109,0.524881516588,0.63981042654,0.658767772512,0.0719809518065,0.00358890602661,0.0586606576181,0.0521703870683
