,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
17,4.79348402023,0.00134344100952,0.824667349028,0.827917121486,0.01,7,6,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 6, 'NN__alpha': 0.01}",33,0.82199488491,0.829302623161,0.82241555783,0.826125895599,0.831115660184,0.824334698055,0.833162743091,0.831627430911,0.814644137225,0.828194959703,2.14587484187,8.73163445086e-05,0.00672877522487,0.00252212025131
18,2.82622079849,0.00148682594299,0.828761514841,0.834621340964,0.01,7,7,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 7, 'NN__alpha': 0.01}",32,0.828132992327,0.836084452975,0.82548618219,0.835593654043,0.833162743091,0.830603889458,0.832650972364,0.836745138178,0.824372759857,0.834079570168,0.915054554753,7.56652679099e-05,0.00360202858506,0.00219226076413
19,2.56887803078,0.00171294212341,0.835209825998,0.842451338206,0.01,7,8,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 8, 'NN__alpha': 0.01}",27,0.831713554987,0.844145873321,0.821392016377,0.842502558854,0.848004094166,0.83994370522,0.840327533265,0.839815762538,0.834613415259,0.845848791096,0.932617678991,0.000333944712104,0.00887019479949,0.00235164798569
20,2.90284686089,0.00161561965942,0.837871033777,0.845470736393,0.01,7,9,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 9, 'NN__alpha': 0.01}",21,0.83631713555,0.844273832374,0.821903787103,0.847492323439,0.846980552712,0.845957011259,0.842374616172,0.841734902764,0.84178187404,0.847895612127,1.25248855744,6.7980090073e-05,0.00867088502492,0.00226240278889
21,2.96809659004,0.00165233612061,0.840327533265,0.848004227414,0.01,7,10,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 10, 'NN__alpha': 0.01}",18,0.842455242967,0.852847088932,0.833674513818,0.851074718526,0.847492323439,0.844805527124,0.839815762538,0.843654042989,0.838197644649,0.847639759499,0.531878071993,7.35703643569e-05,0.00458088123886,0.00352618344075
22,2.15556678772,0.00170660018921,0.842988741044,0.849667528097,0.01,7,11,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 11, 'NN__alpha': 0.01}",11,0.841432225064,0.851823416507,0.837256908905,0.851714431934,0.850051177073,0.852737973388,0.851074718526,0.847236438076,0.835125448029,0.844825380581,0.842133157419,9.37128783983e-05,0.00651672693325,0.00308615928623
23,3.52104759216,0.00166463851929,0.844012282497,0.851791196575,0.01,7,12,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 12, 'NN__alpha': 0.01}",7,0.841943734015,0.852079334613,0.838280450358,0.852993858751,0.848515864893,0.853377686796,0.843398157625,0.848387922211,0.847926267281,0.852117180504,1.00573357099,7.25508950628e-05,0.00382376314601,0.00177397367405
24,3.17277092934,0.00166606903076,0.84636642784,0.853377911742,0.01,7,13,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 13, 'NN__alpha': 0.01}",1,0.847570332481,0.859117082534,0.835209825998,0.850818833163,0.853121801433,0.851202661208,0.847492323439,0.855424769703,0.848438300051,0.850326212102,1.22349714062,4.68318666717e-05,0.00595168990598,0.00339768090448
25,3.11592760086,0.0017707824707,0.842067553736,0.853429075706,0.01,7,14,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 14, 'NN__alpha': 0.01}",14,0.837340153453,0.856941778631,0.836233367451,0.858623336745,0.851074718526,0.853505629478,0.846980552712,0.849411463664,0.838709677419,0.848663170014,1.56118411953,4.31487307065e-05,0.00588104786114,0.00395424717596
26,1.53835697174,0.00134658813477,0.805424769703,0.805424696413,0.001,7,2,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 2, 'NN__alpha': 0.001}",51,0.808695652174,0.80537428023,0.807574206755,0.806294779939,0.813715455476,0.800665301945,0.802456499488,0.806550665302,0.794674859191,0.80823845465,0.309708499695,0.00022664236164,0.00645556753815,0.00255329059033
